,secs,x1,x2,y1,y2
315,19.8,432,270,500,316
316,19.84,430,271,498,317
317,19.88,432,271,500,317
318,19.92,430,271,498,317
319,19.96,432,271,500,317
320,20.0,429,270,497,316
321,20.04,442,269,506,317
322,20.08,442,268,506,316
323,20.12,439,267,505,317
324,20.16,441,267,508,317
325,20.2,443,268,507,314
326,20.24,441,267,508,317
327,20.28,438,266,504,316
328,20.32,441,268,504,315
329,20.36,-2,289,30,312
330,20.4,447,503,270,312
331,20.44,443,269,502,313
332,20.48,446,270,502,312
333,20.52,432,270,500,314
334,20.56,432,273,489,313
335,20.6,445,270,501,312
336,20.64,445,270,501,312
337,20.68,445,270,501,311
338,20.72,444,269,500,311
339,20.76,429,272,486,312
340,20.8,430,273,486,312
341,20.84,445,269,503,313
342,20.88,445,270,501,312
343,20.92,446,270,501,312
344,20.96,446,271,501,312
345,21.0,447,273,498,311
346,21.04,450,273,498,309
347,21.08,447,272,497,310
348,21.12,450,272,498,309
349,21.16,447,272,498,310
350,21.2,447,274,496,310
351,21.24,429,272,473,313
352,21.28,441,272,501,316
353,21.32,443,271,504,317
354,21.36,441,271,501,316
355,21.4,434,274,501,311
356,21.44,430,271,475,313
357,21.48,440,270,500,314
358,21.52,444,270,501,312
359,21.56,441,269,500,313
360,21.6,449,500,272,311
361,21.64,449,273,496,309
362,21.68,449,272,499,310
363,21.72,448,270,502,312
364,21.76,445,271,499,312
365,21.8,448,271,502,313
366,21.84,445,271,500,312
367,21.88,448,271,501,312
368,21.92,448,272,499,311
369,21.96,448,272,499,310
370,22.0,448,269,500,310
371,22.04,430,269,474,310
372,22.08,430,269,474,309
373,22.12,429,268,474,309
374,22.16,432,269,474,308
375,22.2,429,268,474,310
376,22.24,445,269,498,310
377,22.28,448,271,498,309
378,22.32,439,273,495,309
379,22.36,444,269,495,307
380,22.4,444,265,494,302
381,22.44,444,263,498,303
382,22.48,443,260,500,303
383,22.52,443,266,498,306
384,22.56,444,269,497,309
385,22.6,440,270,497,312
386,22.64,440,272,496,314
387,22.68,440,273,496,315
388,22.72,440,272,500,316
389,22.76,440,271,501,315
390,22.8,445,489,272,309
391,22.84,444,270,490,308
392,22.88,442,269,489,309
393,22.92,439,270,496,312
394,22.96,440,270,498,311
395,23.0,438,269,498,312
396,23.04,440,269,501,313
397,23.08,434,272,496,311
398,23.12,432,272,494,311
399,23.16,433,273,495,312
400,23.2,433,273,495,311
401,23.24,433,272,495,311
402,23.28,433,272,495,311
403,23.32,432,273,493,312
404,23.36,433,274,494,312
405,23.4,438,275,491,310
406,23.44,432,274,493,312
407,23.48,434,274,495,313
408,23.52,433,274,494,312
409,23.56,433,273,494,311
410,23.6,435,272,496,310
411,23.64,432,272,493,310
412,23.68,434,272,495,310
413,23.72,434,272,493,310
414,23.76,434,272,493,310
415,23.8,432,272,492,310
416,23.84,435,272,494,309
417,23.88,434,272,493,309
418,23.92,434,272,493,309
419,23.96,434,272,493,309
420,24.0,445,487,270,306
421,24.04,447,270,486,304
422,24.08,445,268,486,304
423,24.12,445,268,486,304
424,24.16,442,267,487,305
425,24.2,434,274,468,305
426,24.24,430,273,489,313
427,24.28,428,274,487,314
428,24.32,433,276,490,308
429,24.36,-5,284,30,308
430,24.4,-3,283,31,308
431,24.44,-4,283,30,307
432,24.48,-5,284,30,309
433,24.52,-4,284,31,308
434,24.56,428,275,485,314
435,24.6,428,275,485,314
436,24.64,427,279,476,313
437,24.68,427,280,476,314
438,24.72,429,281,478,314
439,24.76,428,281,476,315
440,24.8,429,281,477,315
441,24.84,428,281,476,315
442,24.88,430,281,477,314
443,24.92,430,279,477,313
444,24.96,-5,287,30,312
445,25.0,-3,283,33,309
446,25.04,-4,282,32,308
447,25.08,-4,283,31,309
448,25.12,438,273,489,316
449,25.16,429,281,476,314
450,25.2,445,485,275,310
451,25.24,444,272,485,308
452,25.28,442,271,484,308
453,25.32,443,273,483,308
454,25.36,442,274,483,309
455,25.4,442,276,482,312
456,25.44,442,278,482,313
457,25.48,434,280,486,317
458,25.52,431,276,490,319
459,25.56,432,275,490,318
460,25.6,433,272,491,317
461,25.64,432,270,491,314
462,25.68,429,269,488,313
463,25.72,434,271,478,309
464,25.76,432,272,477,310
465,25.8,435,276,480,310
466,25.84,432,276,486,314
467,25.88,430,275,482,313
468,25.92,426,277,479,312
469,25.96,428,278,479,312
470,26.0,427,277,479,311
471,26.04,427,277,478,311
472,26.08,424,277,477,311
473,26.12,428,272,485,314
474,26.16,425,271,482,314
475,26.2,427,271,484,314
476,26.24,426,271,483,314
477,26.28,426,271,483,314
478,26.32,424,271,481,314
479,26.36,426,271,483,314
480,26.4,435,472,276,311
481,26.44,418,276,471,311
482,26.48,417,275,470,311
483,26.52,417,275,470,311
484,26.56,425,273,479,312
485,26.6,426,272,470,309
486,26.64,424,274,476,312
487,26.68,425,274,478,313
488,26.72,423,276,475,310
489,26.76,432,274,469,309
490,26.8,426,271,470,308
491,26.84,426,271,470,308
492,26.88,425,271,468,308
493,26.92,426,271,470,309
494,26.96,422,276,474,310
495,27.0,419,276,472,310
496,27.04,422,276,474,310
497,27.08,425,275,474,310
498,27.12,425,275,474,310
499,27.16,423,274,474,311
500,27.2,424,274,476,311
501,27.24,424,275,474,310
502,27.28,423,275,472,311
503,27.32,417,276,451,307
504,27.36,417,276,451,307
505,27.4,424,275,473,310
506,27.44,429,274,469,309
507,27.48,431,275,468,308
508,27.52,431,275,468,307
509,27.56,430,275,472,307
510,27.6,431,468,274,311
511,27.64,421,274,470,311
512,27.68,420,277,470,309
513,27.72,420,277,470,309
514,27.76,430,275,466,309
515,27.8,429,277,469,307
516,27.84,429,277,469,307
517,27.88,427,276,469,308
518,27.92,413,276,450,310
519,27.96,418,277,469,310
520,28.0,420,278,469,310
521,28.04,420,273,475,314
522,28.08,420,272,475,314
523,28.12,427,274,467,311
524,28.16,429,278,468,308
525,28.2,420,273,476,314
526,28.24,429,278,468,308
527,28.28,429,278,468,308
528,28.32,427,277,468,309
529,28.36,428,278,468,308
530,28.4,429,276,465,310
531,28.44,429,276,465,310
532,28.48,417,277,469,310
533,28.52,417,276,471,310
534,28.56,414,276,468,310
535,28.6,417,278,467,307
536,28.64,417,277,469,310
537,28.68,418,276,471,310
538,28.72,417,276,470,309
539,28.76,418,275,471,309
540,28.8,431,469,273,310
541,28.8,507,635,267,423
542,28.84,505,267,631,420
543,28.84,418,275,470,309
544,28.88,504,268,627,418
545,28.88,421,276,473,310
546,28.92,419,276,471,305
547,28.92,430,276,469,306
548,28.96,430,275,472,307
549,28.96,430,273,467,310
550,29.0,432,272,470,310
551,29.0,430,275,470,306
552,29.04,431,276,470,306
553,29.04,430,272,468,310
554,29.08,431,276,470,306
555,29.08,431,273,469,310
556,29.12,418,278,460,308
557,29.12,433,273,470,310
558,29.16,422,276,472,308
559,29.16,419,276,470,305
560,29.2,428,275,471,307
561,29.2,421,270,477,312
562,29.24,429,275,471,307
563,29.24,424,270,480,312
564,29.28,429,276,472,308
565,29.28,422,271,478,313
566,29.32,429,276,472,308
567,29.32,423,271,479,313
568,29.36,432,274,470,310
569,29.36,424,271,479,313
570,29.4,425,271,481,313
571,29.4,419,279,464,309
572,29.44,430,276,473,308
573,29.44,420,276,455,309
574,29.48,419,278,465,310
575,29.48,-6,285,33,313
